,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
2019-10-02,0,,,,,,,,,,1,1,1,,,,,16,,,16,16,,16
2019-10-03,16,24,,,0,,17,17,1,262,6,2,4,,,,,,16,16,16,16,16,24
2019-10-04,24,1,16,,1,2,6,2,6,8,1,0,1,0,,24,24,,25,17,17,33,24,8
2019-10-05,24,24,176,,,,,,,,,,,,,,,,,,,,,
2019-10-06,,,,,,,294,294,294,294,358,294,358,294,19,18,18,6,6,6,6,155,2,147
2019-10-07,147,,,,,,,,,,,,,,,,,,,,2,6,0,1
2019-10-08,1,0,,6,294,6,0,294,262,358,1,294,358,293,,,146,19,2,1,,144,144,19
2019-10-09,17,,,,,,,,,,,,,,,6,6,6,37,294,5,0,0,294
2019-10-10,6,6,,358,358,358,292,292,294,292,486,294,294,292,6,38,294,358,358,358,6,6,294,294
2019-10-11,6,,,294,358,294,294,292,292,358,358,358,358,294,,294,294,358,262,294,4,6,54,1
2019-10-12,37,6,,358,358,294,294,358,358,358,292,292,292,,,,,,,,,,,
2019-10-13,,,,,,,358,,294,294,294,358,358,358,,6,6,,6,6,154,18,18,128
2019-10-14,154,2,,,,,,,,,,,,,,,,,,,,,,
2019-10-15,,,,,,,,6,4,9,1,1,6,294,,17,,,,1,0,6,19,144
2019-10-16,6,,,,,,,,,,,,,,,,,,,262,294,294,294,294
2019-10-17,294,294,,,,358,294,19,294,294,292,358,292,6,,,,6,6,,6,4,4,6
2019-10-18,4,,,,38,294,6,6,4,6,6,294,294,,6,1,1,9,1,4,70,17,0,0
2019-10-19,16,1,,,,292,358,294,294,294,294,358,358,,,294,262,262,,4,,4,4,262
2019-10-20,294,294,294,,,,,,358,358,356,358,292,294,294,358,294,294,262,294,294,294,358,358
2019-10-21,358,294,294,,,,,,,,,,,,,,,,,,,,,
2019-10-22,,,,,358,,358,358,358,358,358,294,358,358,,,294,,,,,294,358,
2019-10-23,358,,,,,,,,,,,,,,,,,,,,,,,
2019-10-24,,,,,,292,358,358,358,358,358,358,358,358,,36,36,294,326,358,358,358,358,294
2019-10-25,6,,,,,,,,,,,,,,,,,,358,,,294,294,292
