,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
2019-08-13,6,,,,,,,,,,,,,,,,,,144,144,16,16,0,0
2019-08-14,16,24,,16,,17,16,16,16,294,262,6,294,2,,19,17,128,16,24,24,19,19,2
2019-08-15,0,,,,,1,,1,,,,1,1,,,,24,24,,0,,16,0,0
2019-08-16,0,0,,,,,,,38,6,4,4,292,,16,1,1,24,24,0,24,24,1,24
2019-08-17,24,24,144,,,,147,6,18,18,6,6,6,6,0,,,,,,,,,
2019-08-18,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-19,,,,,,,147,,152,147,,144,154,144,,24,16,16,16,16,16,24,24,16
2019-08-20,19,,,,,,,,,,,,,,,,,,,,1,24,24,24
2019-08-21,,24,,,17,16,1,24,1,24,41,1,17,1,,17,0,0,,1,1,1,1,16
2019-08-22,16,,,,,,,,,,,,,,,24,,,,16,16,131,24,24
2019-08-23,144,144,,,154,128,128,128,144,128,146,146,147,128,,24,,,,16,16,,24,
2019-08-24,,,,,144,144,144,24,2,18,152,17,144,154,17,,,,,,,,,
2019-08-25,,,,,6,292,260,6,292,6,294,36,6,,,,,,,,,,,
2019-08-26,,0,0,,294,294,294,294,358,294,358,294,358,294,,6,6,,70,6,6,6,1,1
2019-08-27,1,6,,,,,,,,,,,,,,,,,,,,,,
2019-08-28,,,,,144,,,,19,176,144,152,146,146,,,,16,24,16,16,16,16,2
2019-08-29,2,,,,,,,,,,,,,,,,,24,16,24,146,144,24,24
2019-08-30,16,16,,,,,,19,19,19,,152,144,152,,,,18,,,24,24,152,152
2019-08-31,128,,,,,,6,,38,38,19,19,146,,1,,,,,,,,,
2019-09-01,,,,,,262,294,294,4,292,358,6,6,,,17,0,0,,,1,1,24,1
2019-09-02,1,16,24,,,,,,6,0,4,6,294,292,,2,0,0,2,17,17,24,16,17
2019-09-03,0,0,,,,,,,,,,,,,,,,,,,,,,
2019-09-04,,,294,,,,,,,,,,,,17,,,,,,,,,
2019-09-05,,,,,,,,,,,,,,,,,,,,,,,24,24
2019-09-06,146,,,,,,4,57,2,147,19,6,18,16,,16,128,16,2,18,24,24,19,17
2019-09-07,24,,,,,,,,,,,,,,,,,,,24,1,1,17,24
2019-09-08,24,19,17,,,,,,,,,,,,16,,,,,,,,,
2019-09-09,,,,,,,,24,144,147,147,152,24,144,,,,17,24,144,144,144,16,16
2019-09-10,152,144,,,,6,6,37,294,6,6,6,4,,,,,,,,,,,
2019-09-11,,,,,,1,0,0,6,6,0,2,0,4,,17,1,,1,24,17,24,24,24
2019-09-12,17,17,,,,,,,,,,,,,,,,,,,,,,
2019-09-13,,,,,294,294,0,0,6,4,297,57,6,294,,19,24,2,144,144,24,152,24,16
2019-09-14,16,,,,,,,,,,,,,,,,,,,,,,,1
2019-09-15,33,33,144,,,,,,,,,,,,,,25,,16,17,,,,0
2019-09-16,0,,,,,,,,,,,152,,,,,,,,,,,,
2019-09-17,,,,,,,,,,,24,6,,,,,,,24,,,,16,
2019-09-18,16,,,,,,,292,6,6,294,294,262,294,,17,,19,19,19,24,24,24,19
2019-09-19,24,16,,,,,,,,,,,,,,,,,,,,,,
2019-09-20,,,2,,,,,,,,,,,,17,,6,6,6,6,6,17,17,6
2019-09-21,6,,,,,,,,,,,,,,,,,,,,,,,
2019-09-22,,,,,24,,,24,17,25,24,17,25,0,24,,,,,,,,,
2019-09-23,,,,,,,,,,,,,,,,,,,24,24,,,,0
2019-09-24,1,,,,,,9,18,294,4,4,260,260,294,24,,,,,,,,,
2019-09-25,,,,,,,,144,,,144,,186,186,,,24,0,6,6,6,2,2,2
2019-09-26,2,0,,,,292,294,294,294,262,262,358,358,,,,,,,,,,,
2019-09-27,,,,,,,4,294,294,358,358,326,326,358,2,,,,,,,,,
2019-09-28,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-29,,,,,358,,358,294,294,294,294,292,294,292,6,,,,,,,,,
2019-09-30,,,,,,,,,,,,,,,,,24,9,9,1,1,19,19,24
2019-10-01,152,17,48,,,,,,,,,,,,,,,17,41,41,,1,1,9
2019-10-02,0,,,,,,1,,,,,9,9,,16,,,,,,,,,
2019-10-03,,,,,,,9,9,9,9,4,9,24,,16,16,16,16,16,17,17,1,19,17
2019-10-04,0,0,0,,,144,17,1,0,0,0,0,1,0,,24,24,,24,9,17,,24,24
2019-10-05,24,24,176,,,,,,,,,,,,,,,,,,,,,
2019-10-06,,,,,,,294,294,294,294,358,294,358,294,19,,,,,,,,,
2019-10-07,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-08,,,6,,,,,,,,,,,,,,146,,144,,16,19,146,19
2019-10-09,17,,,,,,,,,,,,,,,6,6,6,37,294,5,0,0,294
2019-10-10,6,6,,358,358,358,292,292,294,292,486,294,294,292,6,,,,,,,,,
2019-10-11,,,,294,,,,,,,,,,,,262,294,358,358,292,294,294,294,262
2019-10-12,294,293,,358,294,292,294,358,358,292,293,293,301,,,,,,,,,,,
2019-10-13,,,,,,,358,,294,294,294,358,358,358,,6,6,,6,6,25,19,18,128
2019-10-14,154,2,,,,,,,,,,,,,,,,,,,,,,
2019-10-15,,,,,,,,6,4,9,1,70,1,294,,17,,,,1,0,0,326,0
2019-10-16,0,,,,,,,,,,,,,,,,,,,294,294,294,292,358
2019-10-17,292,292,,,54,,294,294,294,294,310,292,292,6,,,,6,6,4,4,4,4,6
2019-10-18,4,,,,38,294,6,6,4,6,6,294,294,,6,,,,,,,,,
2019-10-19,,,,,,292,358,294,294,294,294,358,358,,,294,262,262,,4,,4,4,262
2019-10-20,294,294,294,,,,,,358,358,356,358,292,294,294,,,,,,,,,
2019-10-21,,,294,,,,,,,,,,,,,,,,,,,,,
2019-10-22,,,,,294,,294,294,292,292,294,358,358,358,,,294,,,,,,358,
2019-10-23,358,,,,,,,,,,,,,,,,,,,,,,,
2019-10-24,,,,,,292,,292,358,292,294,358,358,358,,294,294,358,358,294,294,262,38,294
2019-10-25,36,,,,,,,,,,,,,,,,,294,358,358,,,,292
2019-10-26,292,,,,,,,358,358,358,294,358,292,292,294,,,,,,,,,
2019-10-27,,,,,,,,,358,294,292,292,294,294,,294,294,294,358,358,358,294,294,358
2019-10-28,294,292,,,,358,358,358,294,358,310,294,294,,,,,,,,,,,6
2019-10-29,292,6,38,,,,,38,358,311,294,176,1,144,294,,,,,,,,,
2019-10-30,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-31,,,,,,,292,292,358,358,292,358,358,292,,,,,,294,358,358,294,294
2019-11-01,294,,,,,,,,,,,,,,,,,294,,,294,294,294,358
2019-11-02,358,358,292,,,,,,,,,,,,,,294,,294,294,54,38,294,6
2019-11-03,294,,,,,,,,49,294,294,294,294,,,152,,,152,146,152,152,152,152
2019-11-04,18,152,,,,,,292,292,292,294,294,150,,,294,,,,,36,36,,38
2019-11-05,38,38,294,,,,,,,358,358,358,294,294,,6,2,24,2,6,16,19,19,17
2019-11-06,16,16,24,,,,,,,,,,,,,,,,,,,,,
2019-11-07,,,,,144,152,304,16,176,144,16,16,154,144,176,,,,,,,,,
2019-11-08,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-09,,,,,,68,,292,292,292,358,294,294,292,,,,152,146,146,,,18,18
2019-11-10,,,,,,,,,,,,,,,,24,16,16,17,,2,0,0,2
2019-11-11,2,2,,,144,144,152,152,144,152,152,184,128,128,24,,,,,,,,,
2019-11-12,,,,292,,,,,,,,,,,,,176,176,176,144,176,144,176,144
2019-11-13,152,152,,,,,,,,,,358,294,,,,,,,,,,,
