,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
2019-11-14,,,,292,,294,,292,,294,,358,,294,294,,294,,294,,358,,358,
2019-11-15,358,,,,,,,,,,,,,,,,,,,,,,,
2019-11-16,,,152,,176,,150,,152,,146,,153,,,,,,152,,6,,6,
2019-11-17,38,,,,,,,,,,,,,,,,,,,146,,146,,154
2019-11-18,,147,,,,,,,358,,358,,358,,,,,,,,,,294,
2019-11-19,294,,,17,,294,,17,,6,,147,,,16,,16,,144,,16,,176,
2019-11-20,144,,24,,152,,25,,17,,25,,33,2,,6,,6,,6,,1,,1
2019-11-21,,6,,294,,294,,293,,358,,358,,294,6,,0,,56,,6,,6,
2019-11-22,2,,1,,,,,,,,,,,,,,,,,,,,,
2019-11-23,,,,,,,294,,358,,358,,358,,,,,,294,,358,,358,
2019-11-24,294,,,,,,,,,,,,,,,,,,,146,,38,,38
2019-11-25,,18,294,,441,,310,,6,,294,,293,,144,,144,,24,,144,,144,
2019-11-26,138,,,,,,,,,4,,6,,,38,,294,,292,,294,,292,
2019-11-27,1,,144,,18,,6,,292,,292,,6,,144,,144,,16,,144,,152,
2019-11-28,153,,,24,,152,,1,,1,,4,,24,152,,6,,4,,36,,1,
2019-11-29,9,,36,,294,,358,,356,,0,,17,,,,,,,,,24,,49
2019-11-30,,49,,292,,293,,292,,260,,294,,292,36,,326,,294,,358,,422,
2019-12-01,358,,,,,,,,,,,,,,,,,,,,,,,
2019-12-02,,,292,,301,,358,,358,,358,,358,,,,,,358,,358,,294,
2019-12-03,294,,,,,,,,,,,,,,,,,,,,,294,,294
2019-12-04,,,144,,144,,152,,152,,147,,153,,,,,,56,,24,,24,
2019-12-05,24,,,138,,144,,144,,19,,55,,,38,,294,,294,,294,,294,
2019-12-06,294,,,,,,,,,,,,,,,,,,,,,,,
2019-12-07,,,,153,,17,,17,,24,,16,,6,6,,294,,294,,310,,294,
2019-12-08,294,,17,,,,,,,,,,,,,,,,,,,,,
2019-12-09,,,56,,297,,1,,25,,24,,144,,56,,304,,496,,48,,304,
2019-12-10,57,,,,,,,,,,,,,,,,,,,6,,36,,6
2019-12-11,,6,,,,,,,,,294,,294,,,,,,,,152,,,
2019-12-12,6,,,,,,,,,,,,,,,,,,294,,294,,4,
2019-12-13,36,,358,,294,,301,,292,,293,,154,,294,,294,,294,,6,,152,
2019-12-14,6,,,294,,294,,356,,294,,358,,294,292,,294,,292,,293,,37,
2019-12-15,309,,294,,358,,358,,293,,358,,294,,,,,4,,36,,6,,6
